id,source,message,reference,candidate,groundedness,relevance,correctness_safety,tone,completeness,overall_pass
gold_0191,agent,I’ve tried everything and my rear camera will not work 😡,We want to help you get back to capturing great pictures with your iPhone. What happens when you open the Camera app on your iPhone? Are you able to see the preview and capture photos?,"We'd like to help. Please review the troubleshooting steps in this article: https://t.co/r1DRfaFLIU. If the issue persists, please DM us with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT",5.0,5.0,5.0,5.0,5.0,PASS
gold_0177,canned,is it safe now to update the ios to 11.1.2 ?,"Yes, you can definitely update to iOS 11.1.2. Check out our article for more info on how to backup and update your device: https://t.co/80YRnjDFDk",Sorry to hear that. Please send us a DM with more detail and we'll help.,5.0,3.0,5.0,5.0,2.0,FAIL
gold_0070,retrieval_only,currently on my iPhone every hour sometimes more often a notice pops up saying iMessages will be charged at the rate set by the provider and has either cancel or ok as the buttons. I’ve clicked ok even updated the phone but it happens yet again and frequently,"We'd like to help with iMessage. Do you know what version of the iOS is on the device? If not, you can check under Settings > General > About > Version. || Do you use iMessage with just this device, or are you using multiple devices currently? || What country are you currently located in? Let us know in Direct Message and we'll continue there. https://t.co/GDrqU22YpT",What iOS version are you currently on? Let us know in Direct Message and we'll take a look. https://t.co/GDrqU22YpT,5.0,5.0,5.0,5.0,4.0,PASS
gold_0052,agent,I literally lost all my streaks on snapchat and couldn't reply to a text or call from work about coming in for extra hours. Really though @115858 y'all have pissed on my life big time.,"We want to help you with any issues you’re experiencing with your device. Send us some more details about what’s going on in DM, and we’ll work with you there. https://t.co/GDrqU22YpT","We're sorry to hear about the trouble you're having with your device. To help us look into this, could you please let us know which iPhone model you are using and your current iOS version? Please send us a DM so we can assist you further.",5.0,5.0,5.0,5.0,4.0,PASS
gold_0052,retrieval_only,I literally lost all my streaks on snapchat and couldn't reply to a text or call from work about coming in for extra hours. Really though @115858 y'all have pissed on my life big time.,"We want to help you with any issues you’re experiencing with your device. Send us some more details about what’s going on in DM, and we’ll work with you there. https://t.co/GDrqU22YpT",Give us some details on what you're noticing with your iPhone. We'll work together to fix it.,5.0,4.0,5.0,5.0,3.0,PASS
gold_0131,retrieval_only,a bad video of @82067 playing The Beers @ the house of blues last Wednesday. This was my favorite song in 2012 and it was surreal hearing it live (again) https://t.co/lZumd8d9JQ,"We'd be happy to look into this with you! To start, let us know what device we're working with via DM and we'll go from there: https://t.co/GDrqU22YpT","Thanks for showing that to us, we’d like to help get that resolved. Please let us know more details about the iPhone via DM https://t.co/GDrqU22YpT",3.0,3.0,4.0,5.0,3.0,FAIL
gold_0204,agent,"Mac wouldn’t wake from sleep today, had to force reboot, now it’s doing this. If this is how emergency security patches are installed, it’s not very friendly. @AppleSupport https://t.co/ylaToAcVxC","We understand how this would be disruptive when you need to use your Mac. Has the update completed? Are you able to use your Mac? https://t.co/GDrqU22YpT || Thank you for letting us know. If you'd like to leave feedback about this, please do so here: https://t.co/eTPVYVFyd8",Thanks for reaching out. We'd like to look into this with you. Please send us a DM so we can help troubleshoot this further: https://t.co/GDrqU22YpT,5.0,5.0,5.0,5.0,4.0,PASS
gold_0067,canned,can you help me with my laptop? https://t.co/eHR0bEqYzz,We're happy to assist. Which macOS version are you currently running? DM us and let us know. https://t.co/GDrqU22YpT,Sorry to hear that. Please send us a DM with more detail and we'll help.,5.0,4.0,5.0,5.0,3.0,PASS
gold_0070,canned,currently on my iPhone every hour sometimes more often a notice pops up saying iMessages will be charged at the rate set by the provider and has either cancel or ok as the buttons. I’ve clicked ok even updated the phone but it happens yet again and frequently,"We'd like to help with iMessage. Do you know what version of the iOS is on the device? If not, you can check under Settings > General > About > Version. || Do you use iMessage with just this device, or are you using multiple devices currently? || What country are you currently located in? Let us know in Direct Message and we'll continue there. https://t.co/GDrqU22YpT",Sorry to hear that. Please send us a DM with more detail and we'll help.,5.0,3.0,5.0,5.0,2.0,FAIL
gold_0131,canned,a bad video of @82067 playing The Beers @ the house of blues last Wednesday. This was my favorite song in 2012 and it was surreal hearing it live (again) https://t.co/lZumd8d9JQ,"We'd be happy to look into this with you! To start, let us know what device we're working with via DM and we'll go from there: https://t.co/GDrqU22YpT",Sorry to hear that. Please send us a DM with more detail and we'll help.,5.0,3.0,5.0,5.0,2.0,FAIL
gold_0140,agent,my iPhone X just dialed 911 by itself when my phone was in the holster on my waist.,"We want to make sure your iPhone X is only using Emergency SOS, when necessary. Here's how to use Emergency SOS on your iPhone X: https://t.co/OqERDeSFxl Is it possible that both the side button and Volume button were being pressed and held in your holster? || If you notice this happen again, while not in the holster, please let us know. We want to make sure you're enjoying your new iPhone X and we're happy to do everything we can to help.",We'd like to hear more about this issue. Please send us a DM with your location so we can look into this further with you. https://t.co/GDrqU22YpT,3.0,2.0,3.0,5.0,2.0,FAIL
gold_0202,agent,"Seriously what the fuck, why am I forbidden to use WiFi & Bluetooth @AppleSupport https://t.co/Fw6o9ei2Rv",Thanks for reaching out! We've received your DM messages and will respond from there to help sort this out.,"We want to help you get your connectivity working as expected. Are you using the Control Center to toggle these settings, but noticing they remain active in your device settings? Please send us a DM so we can look into this further.",5.0,5.0,5.0,5.0,4.0,PASS
gold_0052,canned,I literally lost all my streaks on snapchat and couldn't reply to a text or call from work about coming in for extra hours. Really though @115858 y'all have pissed on my life big time.,"We want to help you with any issues you’re experiencing with your device. Send us some more details about what’s going on in DM, and we’ll work with you there. https://t.co/GDrqU22YpT",Sorry to hear that. Please send us a DM with more detail and we'll help.,5.0,5.0,5.0,5.0,4.0,PASS
gold_0154,canned,Do you know will a fix come out to fix the issue with the static when playing music through blue tooth? I see you’ve been a discussion on the discussion board but no update in this is been going on since the iPhone 7,We'd like to find out more about what you're noticing. Which iOS version are we working with on your iPhone? You can find that in Settings > General > About. Our latest is iOS 11.1.2.,Sorry to hear that. Please send us a DM with more detail and we'll help.,5.0,4.0,5.0,5.0,2.0,FAIL
gold_0067,agent,can you help me with my laptop? https://t.co/eHR0bEqYzz,We're happy to assist. Which macOS version are you currently running? DM us and let us know. https://t.co/GDrqU22YpT,"We're here to help. Could you please tell us a bit more about what is happening with your laptop? Once we have a better idea of the issue, we can look into the next steps together. Please send us a DM to continue.",5.0,5.0,5.0,5.0,4.0,PASS
gold_0140,canned,my iPhone X just dialed 911 by itself when my phone was in the holster on my waist.,"We want to make sure your iPhone X is only using Emergency SOS, when necessary. Here's how to use Emergency SOS on your iPhone X: https://t.co/OqERDeSFxl Is it possible that both the side button and Volume button were being pressed and held in your holster? || If you notice this happen again, while not in the holster, please let us know. We want to make sure you're enjoying your new iPhone X and we're happy to do everything we can to help.",Sorry to hear that. Please send us a DM with more detail and we'll help.,5.0,4.0,5.0,5.0,2.0,FAIL
gold_0070,agent,currently on my iPhone every hour sometimes more often a notice pops up saying iMessages will be charged at the rate set by the provider and has either cancel or ok as the buttons. I’ve clicked ok even updated the phone but it happens yet again and frequently,"We'd like to help with iMessage. Do you know what version of the iOS is on the device? If not, you can check under Settings > General > About > Version. || Do you use iMessage with just this device, or are you using multiple devices currently? || What country are you currently located in? Let us know in Direct Message and we'll continue there. https://t.co/GDrqU22YpT","That sounds frustrating. To help us look into this, what iOS version is your iPhone currently running? Please let us know in a DM so we can assist you further.",5.0,5.0,5.0,5.0,4.0,PASS
gold_0191,canned,I’ve tried everything and my rear camera will not work 😡,We want to help you get back to capturing great pictures with your iPhone. What happens when you open the Camera app on your iPhone? Are you able to see the preview and capture photos?,Sorry to hear that. Please send us a DM with more detail and we'll help.,5.0,3.0,5.0,5.0,2.0,FAIL
gold_0202,canned,"Seriously what the fuck, why am I forbidden to use WiFi & Bluetooth @AppleSupport https://t.co/Fw6o9ei2Rv",Thanks for reaching out! We've received your DM messages and will respond from there to help sort this out.,Sorry to hear that. Please send us a DM with more detail and we'll help.,5.0,3.0,5.0,5.0,2.0,FAIL
gold_0013,retrieval_only,"Faulty 3rd Gen Apple Tv, that was under recall. Problem with Wifi, won't connect with witi or ethernet. Phone support doesnt even acknowledge recall or help on the issue at all. Can you help? Serial # C07HXKR1DRHN. Same problem as reacall, https://t.co/DYBRURYoDJ",We’d like to see how we can help. Can you DM us some more details about the issue you're having? https://t.co/GDrqU22YpT,We certainly don't like to hear that. Please send us a DM and we will look into this together. https://t.co/GDrqU22YpT,5.0,5.0,5.0,5.0,5.0,PASS
gold_0154,retrieval_only,Do you know will a fix come out to fix the issue with the static when playing music through blue tooth? I see you’ve been a discussion on the discussion board but no update in this is been going on since the iPhone 7,We'd like to find out more about what you're noticing. Which iOS version are we working with on your iPhone? You can find that in Settings > General > About. Our latest is iOS 11.1.2.,We'd like to look into this with you. Do you get static when playing audio through the iPhone's speakers?,5.0,4.0,5.0,5.0,3.0,FAIL
gold_0210,agent,"Señores @AppleSupport el nuevo #iOS me tiene el celular completamente lento: no puedo tener dos apps abiertas porque inmediatamente la pantalla se congela, para cuando actualización?",We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,5.0,5.0,5.0,5.0,5.0,PASS
gold_0204,canned,"Mac wouldn’t wake from sleep today, had to force reboot, now it’s doing this. If this is how emergency security patches are installed, it’s not very friendly. @AppleSupport https://t.co/ylaToAcVxC","We understand how this would be disruptive when you need to use your Mac. Has the update completed? Are you able to use your Mac? https://t.co/GDrqU22YpT || Thank you for letting us know. If you'd like to leave feedback about this, please do so here: https://t.co/eTPVYVFyd8",Sorry to hear that. Please send us a DM with more detail and we'll help.,5.0,3.0,5.0,5.0,2.0,FAIL
gold_0177,agent,is it safe now to update the ios to 11.1.2 ?,"Yes, you can definitely update to iOS 11.1.2. Check out our article for more info on how to backup and update your device: https://t.co/80YRnjDFDk","We do recommend keeping your device up to date. If you have any questions or concerns when updating, DM us and we'll help out. https://t.co/GDrqU22YpT",5.0,4.0,5.0,5.0,3.0,FAIL
gold_0210,retrieval_only,"Señores @AppleSupport el nuevo #iOS me tiene el celular completamente lento: no puedo tener dos apps abiertas porque inmediatamente la pantalla se congela, para cuando actualización?",We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,5.0,5.0,5.0,5.0,5.0,PASS
gold_0067,retrieval_only,can you help me with my laptop? https://t.co/eHR0bEqYzz,We're happy to assist. Which macOS version are you currently running? DM us and let us know. https://t.co/GDrqU22YpT,"We want to help get your Mac up and running again. Let's look into your options together. We'll start by asking what country you're located in, as our options vary across the globe. DM us using the link below, and we'll find a solution together. https://t.co/GDrqU22YpT",5.0,5.0,5.0,5.0,5.0,PASS
